Stock,Year,Catch,CPUE
ple-2123,1999,3406,4181
ple-2123,2000,3935,5164
ple-2123,2001,4054,6414
ple-2123,2002,3939,6771
ple-2123,2003,3618,6219
ple-2123,2004,2766,5814
ple-2123,2005,2354,5652
ple-2123,2006,2580,5542
ple-2123,2007,2691,5211
ple-2123,2008,2028,4913
ple-2123,2009,1635,4816
ple-2123,2010,1570,5344
ple-2123,2011,1584,6423
ple-2123,2012,1845,8053
ple-2123,2013,1956,10630
ple-2123,2014,1931,13218
ple-2123,2015,2687,15659
ple-2432,2002,1268,0.34
ple-2432,2003,1552,0.34
ple-2432,2004,1295,0.46
ple-2432,2005,1247,0.66
ple-2432,2006,1830,0.75
ple-2432,2007,1658,0.7
ple-2432,2008,1396,0.66
ple-2432,2009,1644,0.76
ple-2432,2010,1901,0.97
ple-2432,2011,2125,1.41
ple-2432,2012,1765,1.58
ple-2432,2013,1519,1.39
ple-2432,2014,1015,1.38
ple-2432,2015,647,1.69
